startup_id,startup_name,founded_year,country,region,industry,funding_round,funding_amount_usd,funding_date,lead_investor,co_investors,employee_count,estimated_revenue_usd,estimated_valuation_usd,exited,exit_type,tags
456bf4d2-b982-41e7-83fe-04bac2053405,Rice-Martinez,2008,Latvia,North America,Blockchain,Series A,764048000,2020-03-15,Sequoia,Y Combinator,106,289877728.26390415,5187326540.27022,False,,"EdTech, Mobile"
ed442136-e5ec-43c5-afdf-a2dc08c5d4a2,Edwards-Page,2006,Guyana,North America,Fintech,Series A,379993000,2017-04-09,Tiger Global,"Accel, Tiger Global, Sequoia",735,45678346.05693925,1234200606.1289172,False,,"Cloud, IoT, SaaS, AI, Mobile"
a2cdddb6-9944-49c1-9391-6c98eb18f694,Thomas Ltd,2010,Uzbekistan,Oceania,SaaS,Series A,2513368000,2015-09-09,Sequoia,Index Ventures,346,148949784.1666636,24528659082.469498,True,Acquisition,"Marketplace, HealthTech"
eccc5d1e-54d8-4e60-ac80-7ff2cf98f3ba,Davis Inc,2013,Equatorial Guinea,North America,Blockchain,Series B,1029083000,2018-10-15,Accel,"Accel, Tiger Global",302,436947806.5552692,3806282552.27306,False,,"EdTech, Cloud, B2B, AI"
81d6dfb6-63c7-4e0e-ad85-bd92d6a9302b,"Ryan, Dominguez and Klein",2012,Lithuania,Asia,Fintech,Series D,265731000,2020-01-12,Index Ventures,SoftBank,286,49667517.95874642,1647014410.6725295,False,,"B2C, Marketplace, EdTech, Cloud"
5b3d8db9-6e04-4440-9b94-c4810d81c346,"Martin, Anderson and Hayes",2013,Venezuela,Oceania,Blockchain,Series C,265056000,2024-08-30,Tiger Global,"Sequoia, Tiger Global, Index Ventures",169,64773128.487542085,1147648247.8746576,False,,"HealthTech, Blockchain, Cloud, Marketplace"
46db5c65-8686-4938-b394-5a7fcaf8c7e7,Hansen LLC,2006,Iran,Europe,Logistics,Pre-Seed,145203000,2021-11-12,Andreessen Horowitz,"Andreessen Horowitz, Accel",218,26349275.73056668,715980709.8541913,False,,"Cloud, IoT, Mobile, EdTech"
1a12e55e-b0e8-4320-bdfc-20bbcb374d5a,Rose Group,2009,Gabon,Asia,Healthcare,Series A,625103000,2018-02-12,Tiger Global,"Andreessen Horowitz, Y Combinator, Tiger Global",440,159545971.9048098,5176732791.957256,False,,"Marketplace, Cloud, B2C, IoT, AI"
9c96b051-6cee-4441-9381-75069c7c0d45,West-Marshall,2006,Guyana,North America,Healthcare,Series B,476528000,2021-02-20,Index Ventures,"SoftBank, Tiger Global, Accel",396,150862358.3518111,1130135378.1810806,False,,"Blockchain, SaaS, HealthTech, AI, Marketplace"
a8f84733-6845-4ba0-a807-ed287d0c4b97,Bautista PLC,2008,Dominican Republic,Oceania,AI/ML,Series C,92298000,2016-09-14,Index Ventures,"Andreessen Horowitz, Accel, Index Ventures",447,29848728.633359533,310508284.5447171,False,,"SaaS, Blockchain"
451ffdad-fdf0-4835-943a-ac33be99536e,"Hinton, Andersen and Robinson",2010,Romania,MENA,Fintech,Series D,228501000,2022-02-16,Andreessen Horowitz,"Tiger Global, Index Ventures, Sequoia",158,81781618.85597447,1261604279.7759411,False,,"Blockchain, HealthTech, AI"
d02e7b68-7878-43be-a222-0f792b9a0cf7,Chase Ltd,2015,Cayman Islands,Latin America,Fintech,Seed,320981000,2018-02-25,Andreessen Horowitz,"Sequoia, Accel",248,33676429.59642038,1913501038.275405,False,,"B2B, IoT"
7649d07c-7458-4caf-a674-fa16290f9d96,Morrison and Sons,2007,Saudi Arabia,MENA,Logistics,Seed,1093396000,2022-02-11,Y Combinator,"Tiger Global, Sequoia",273,208040439.68833593,6735914352.669869,False,,"Cloud, Blockchain, HealthTech, SaaS, EdTech"
3ea57f0e-2c1f-4efe-aa18-2423c43eeada,Hughes-Blankenship,2016,Ireland,Latin America,AI/ML,Series B,115505000,2020-06-05,Sequoia,Accel,348,34191746.86699548,401822911.083808,True,,"EdTech, Cloud, AI"
d2812380-cc10-48b0-b53e-e3221ff4d83f,Cox LLC,2007,United States of America,Oceania,Blockchain,Seed,996808000,2025-03-05,Accel,Index Ventures,340,89534915.2934164,3556474280.9784265,True,IPO,"HealthTech, IoT, Cloud, B2C"
e958f9d1-7561-469a-adaf-1aeeceb7b362,Fields-Price,2023,Equatorial Guinea,MENA,SaaS,Series A,534189000,2024-11-09,SoftBank,"Sequoia, Accel",101,37581414.10612415,2458681072.480779,False,,"Mobile, HealthTech, IoT, AI"
a47e58fb-d715-4883-a7f8-1251cb1bcd2e,Vasquez LLC,2008,Bangladesh,North America,SaaS,Series C,86997000,2020-04-13,Index Ventures,Sequoia,198,36793804.68766068,422285753.2988975,False,,"B2C, Mobile, HealthTech, SaaS, Cloud"
a8a2c13b-cb29-44aa-8455-b23e01790260,Flynn-Wright,2012,New Zealand,North America,SaaS,Series C,200420000,2019-05-19,Index Ventures,"Accel, Index Ventures, Tiger Global",858,35358202.494195186,1270977191.8926094,True,IPO,"B2C, Mobile, IoT"
9ad916e7-370f-47c2-a1fb-efaba38b67ce,Martin-Keith,2020,Lesotho,Europe,Logistics,Series A,631904000,2023-07-04,Accel,SoftBank,4,52794182.47471986,6252750422.284906,False,,"IoT, SaaS, Mobile, HealthTech"
9a4bb15a-316f-4afc-92ca-4941726df3eb,"Brown, Good and Vargas",2009,Burkina Faso,Europe,E-commerce,Series A,289644000,2024-11-24,Accel,"Y Combinator, Tiger Global, Accel",767,115136428.78117247,1039742438.8982706,False,,"EdTech, IoT"
2eb2c10c-03ed-42ae-b8fa-110b62cd1044,Hawkins-Gordon,2021,United States Minor Outlying Islands,MENA,Healthcare,Pre-Seed,1375186000,2021-07-03,Tiger Global,Index Ventures,192,546047382.3399465,3564973347.516774,True,IPO,"Mobile, B2B, Cloud"
472b29f1-8f44-4199-93bd-1ca6d1b79e83,Jones-Hernandez,2023,Vietnam,MENA,Fintech,Series B,1232319000,2023-10-18,SoftBank,"Tiger Global, Index Ventures, Y Combinator",325,260400807.66027725,3606939148.5195866,False,,"HealthTech, Marketplace, Cloud"
c62839f6-757b-4fc0-a3cd-af689deb9094,Gibbs-Jimenez,2013,Colombia,Latin America,Healthcare,Series C,636914000,2022-05-30,Andreessen Horowitz,"Andreessen Horowitz, Accel",11,126684813.07045011,1597677624.9125798,False,,"B2B, Blockchain"
e1ad2148-d4de-456b-8c0d-5060cdc10c9b,"Perez, Gordon and Carlson",2011,Lao People's Democratic Republic,MENA,E-commerce,Seed,1293807000,2021-01-12,Andreessen Horowitz,Sequoia,380,245748347.12038913,5953409666.571676,False,,"Blockchain, SaaS, HealthTech, AI, Marketplace"
1bf2cd62-628f-407a-bceb-04dcec7b5048,"Hernandez, Sullivan and Henry",2022,Christmas Island,Asia,Blockchain,Seed,1081412000,2021-03-31,Sequoia,"Accel, Index Ventures",762,485819727.8687277,6248095093.1938715,False,,"SaaS, EdTech, Cloud, Marketplace"
2f95eb1e-1ceb-4eae-890b-7a763f16e0e6,Strickland-Cook,2011,Pakistan,Oceania,Blockchain,Series D,1966693000,2018-01-18,Tiger Global,"Andreessen Horowitz, Accel",96,204176974.84721136,15155254242.54363,False,,"AI, HealthTech, Marketplace, B2C"
243ac6c9-bd07-465c-8b7d-6fcc575dc947,Bennett LLC,2013,Saint Martin,Europe,Blockchain,Series B,658378000,2019-12-29,Y Combinator,"Tiger Global, Accel",116,261333423.5018558,3917589257.145559,True,,"Blockchain, AI, Marketplace"
bdec68df-98d4-428e-a53e-ade814652e4b,Contreras and Sons,2023,North Macedonia,MENA,Healthcare,Series B,2402067000,2016-11-12,Accel,"Andreessen Horowitz, Accel",922,685141025.6738033,13019991370.76373,False,,"HealthTech, B2B, Marketplace"
